acc1,acc5,clips/s,epoch,loss,loss_cls,loss_div,loss_pred,loss_reg,lr,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
7.8125,30.95703125,986.8825127847708,0,2.997269893065095,2.997269893065095,0.0,0.0,0.0,0.010000000000000007,0.05416666666666666,5.46875,26.5625,3.0085645243525505,0.05603448275862069
7.91015625,32.6171875,847.5811959802754,1,2.9754704777151346,2.9754704777151346,0.0,0.0,0.0,0.010000000000000007,0.08055555555555556,6.8359375,31.640625,2.991501744836569,0.07327586206896551
9.765625,34.765625,944.9536215561675,2,2.951377971097827,2.951377971097827,0.0,0.0,0.0,0.010000000000000007,0.07397186147186147,7.421875,34.765625,2.9271851927042007,0.08189655172413793
12.20703125,46.6796875,1058.120037369252,3,2.788072971627116,2.788072971627116,0.0,0.0,0.0,0.010000000000000007,0.16955155955155957,17.1875,48.828125,2.8355910889804363,0.1853448275862069
15.4296875,51.46484375,928.3849219337559,4,2.7060522390529513,2.7060522390529513,0.0,0.0,0.0,0.010000000000000007,0.14569291819291819,12.109375,52.734375,2.570828728377819,0.15086206896551724
19.62890625,60.05859375,1138.783675035635,5,2.503135238774121,2.503135238774121,0.0,0.0,0.0,0.010000000000000007,0.26412198912198914,22.8515625,59.5703125,2.4938742853701115,0.27586206896551724
23.14453125,64.35546875,968.4169883754626,6,2.376068173907697,2.376068173907697,0.0,0.0,0.0,0.010000000000000007,0.27565073815073815,22.65625,59.9609375,2.534780990332365,0.27155172413793105
27.05078125,67.1875,845.3135399340799,7,2.2728720335289836,2.2728720335289836,0.0,0.0,0.0,0.009929687500000006,0.26080641580641584,20.8984375,55.46875,2.48653700761497,0.27155172413793105
36.81640625,75.390625,948.8260671109118,8,1.96154966019094,1.96154966019094,0.0,0.0,0.0,0.0010000000000000007,0.35773004773004774,27.734375,65.8203125,2.365002093836665,0.3706896551724138
38.37890625,77.24609375,784.7439042212008,9,1.861345754005015,1.861345754005015,0.0,0.0,0.0,0.0009929687500000006,0.3742260517260517,28.90625,67.1875,2.3324545361101627,0.38362068965517243
42.28515625,80.6640625,942.9289254598824,10,1.7754852105863392,1.7754852105863392,0.0,0.0,0.0,9.999999999999983e-05,0.36152153402153403,27.9296875,67.1875,2.322979448363185,0.3706896551724138
41.30859375,79.98046875,930.1980920034571,11,1.7886655516922474,1.7886655516922474,0.0,0.0,0.0,9.999999999999983e-05,0.38249555999556,31.0546875,68.359375,2.302267941646278,0.39655172413793105
