acc1,acc5,clips/s,epoch,loss,loss_cls,loss_div,loss_pred,loss_reg,lr,pred_h1,pred_h2,pred_h4,slot_corr,slot_max_corr,summary_abs_mean,summary_cov_offdiag,summary_sig_min,summary_std,summary_std_min,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
5.2734375,29.19921875,750.7579449581588,0,3.0335396956652403,3.0050346795469522,0.020727297633129638,0.009826686789892847,0.17641950934194028,0.010000000000000007,0.00913362223036529,0.009014701554406201,0.011331735489875427,0.11702215578407049,0.25316324445884675,0.815933012869209,0.29961131466552615,0.6370197504293174,0.7887559393420815,0.6358561227098107,0.05,5.2734375,27.1484375,3.0221612192690372,0.05172413793103448
6.640625,30.859375,494.31701901399464,1,3.0081106573343277,2.9876915123313665,0.015146249665122014,0.0030620796696894104,0.16599739994853735,0.010000000000000007,0.002710482227485045,0.0032476417927682633,0.0032281147377943853,0.10539673932362348,0.19353563350159675,0.799986494705081,0.2981886260677129,0.725559851154685,0.788732978515327,0.7242104238830507,0.058333333333333334,4.4921875,25.390625,3.001704566180706,0.04741379310344827
7.6171875,34.5703125,498.27976938917556,2,2.9821129236370325,2.962826743721962,0.012605334632098675,0.0021443867235575453,0.1651154027786106,0.010000000000000007,0.0017109347763835103,0.002235793129329977,0.002486432064870314,0.09605369466589764,0.1809211599174887,0.7870201929472387,0.29527810774743557,0.7275636908598244,0.7849946115165949,0.7262101573869586,0.05714285714285714,5.46875,33.59375,2.974777013063431,0.04741379310344827
9.765625,38.671875,494.9410601613919,3,2.9426410775631666,2.921345490962267,0.010073554338305257,0.0037946231277601328,0.1699726884253323,0.010000000000000007,0.00239288801458315,0.0035413631121627986,0.005449617900012527,0.08078221420873888,0.20141073444392532,0.781270002014935,0.29214444011449814,0.642220166977495,0.782255906611681,0.6410434935241938,0.06666666666666667,7.03125,39.6484375,2.9329870902001858,0.06465517241379311
14.35546875,48.828125,759.816807674013,4,2.785719361156225,2.764809586107731,0.00876249769135029,0.0038353089748852653,0.16636338189709932,0.010000000000000007,0.002255372412946599,0.003413489559534355,0.005837064640218159,0.07566875263000838,0.19230977131519467,0.7689121714793146,0.28643798967823386,0.6491081318818033,0.776382103562355,0.6479164739139378,0.1455211455211455,10.7421875,54.1015625,2.7289773486554623,0.13793103448275862
16.50390625,55.17578125,495.71410833058127,5,2.599184143356979,2.578170639462769,0.0069311124134401325,0.004200389348625322,0.16466534975916147,0.010000000000000007,0.002282178777932131,0.0037258664478940773,0.006593122512640548,0.06723945259000175,0.17973540374077857,0.7587988567538559,0.284050497924909,0.6571280024945736,0.7731685894541442,0.6559197842143476,0.21929598179598178,16.015625,56.8359375,2.5599684566259384,0.22844827586206898
22.265625,62.01171875,498.890860245559,6,2.425328311510384,2.4053175281733274,0.005726536739530275,0.0034760917906169198,0.16248366655781865,0.010000000000000007,0.0019039027756662108,0.0031318004621425644,0.005392571789343492,0.061708205146715045,0.1678607690264471,0.7553755179978907,0.28151709772646427,0.6805015462450683,0.7692040428519249,0.67924480792135,0.27252331002331004,21.875,54.6875,2.7011828143149614,0.28879310344827586
23.53515625,62.79296875,493.78846766947726,7,2.403721885755658,2.3842712249606848,0.004152544350290555,0.0030005669168531313,0.16242466773837805,0.009929687500000006,0.0016662420525790367,0.002717695817409549,0.004617762620910071,0.051998822716996074,0.15095053316326812,0.7446817816235125,0.2804120702203363,0.6937957657501101,0.7669476987794042,0.6925115981139243,0.253990453990454,17.96875,55.46875,2.5620290730148554,0.2543103448275862
30.95703125,72.265625,496.2858375479191,8,2.0935600381344557,2.074668080545962,0.0034640431022125995,0.0025457629362790613,0.16172995511442423,0.0010000000000000007,0.0014112888352428854,0.0022847852769700694,0.003941214358746947,0.04827234154799953,0.14807755936635658,0.7400641092099249,0.27989207627251744,0.7123235068283975,0.7653510770760477,0.7110012113116682,0.3608499833499833,26.5625,63.8671875,2.3354668812826276,0.36637931034482757
35.9375,76.66015625,496.90375503403897,9,1.9647094048559666,1.9448904385790229,0.0035905112817999907,0.003624173396929109,0.16015268943738192,0.0009929687500000006,0.001984143645131553,0.00322063970270392,0.005667736539180623,0.04866910364944488,0.16753995680483058,0.7399043976329267,0.27824446512386203,0.7219574390910566,0.7651889366097748,0.7206153748556972,0.3493967143967144,27.5390625,65.4296875,2.3821845650672913,0.3577586206896552
38.37890625,79.296875,500.0768639046065,10,1.8846929920837283,1.864163345657289,0.0034489672452764353,0.004422967918799259,0.159342386177741,9.999999999999983e-05,0.0023897790470073232,0.003928355949028628,0.006950768300157506,0.04739391998737119,0.17184034769888967,0.7405134327709675,0.2775392453186214,0.7241458240896463,0.7659032950177789,0.7227992773987353,0.34081640581640577,27.9296875,65.0390625,2.353964241221547,0.3448275862068966
40.625,79.00390625,494.1770843988265,11,1.8619932821020484,1.8413762031123042,0.0034651608439162374,0.0045162540936871665,0.15927549987100065,9.999999999999983e-05,0.002464124554535374,0.004011298644400085,0.0070733385346102295,0.04745411200565286,0.17428711900720373,0.7402353063225746,0.27755051106214523,0.7248529093340039,0.7659146822988987,0.7235048972070217,0.35652153402153397,28.90625,63.0859375,2.369757778942585,0.3620689655172414
