acc1,acc5,clips/s,epoch,lambda_div_eff,lambda_pred_eff,lambda_reg_eff,lambda_sem_eff,loss,loss_cls,loss_div,loss_pred,loss_reg,loss_sem,lr,pred_h1,slot_corr,slot_max_corr,summary_abs_mean,summary_cov_offdiag,summary_sem_acc,summary_sem_conf,summary_sig_min,summary_std,summary_std_min,val_class_acc_mean,val_clip_acc1,val_clip_acc5,val_loss,val_video_acc1
5.95703125,29.1015625,793.5653508494064,0,0.005000000000000004,0.3125,0.024999999999999942,0.049999999999999885,3.1834582183510065,3.0080506578087807,0.7481693965382874,0.008272424644019338,0.78306286316365,2.9901001937687397,0.010000000000000007,0.008272424644019338,0.7490819562226534,0.999966855160892,0.7978993989527225,0.009264037746106624,0.076171875,0.07277064182562754,0.039369860096485354,0.11780726298457012,0.040625180161441676,0.07777777777777778,6.25,24.609375,3.01239375397563,0.07327586206896551
6.73828125,31.54296875,946.313488158527,1,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,3.1529967933893204,2.978832647204399,0.5326264020986855,0.010841246104973834,0.29447698418516666,2.973868500441313,0.010000000000000007,0.010841246104973834,0.6091613268945366,0.9984018732793629,0.8019323232583702,0.168473055557115,0.0791015625,0.07550295843975618,0.34806327722617425,0.524895471171476,0.34758204163517803,0.05,3.7109375,36.5234375,3.0037650130689144,0.03879310344827586
8.0078125,38.37890625,490.08245055755725,2,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,3.0943215526640415,2.9265119433403015,0.354929014807567,0.008352978045877535,0.22983916802331805,2.971837390214205,0.010000000000000007,0.008352978045877535,0.46264606062322855,0.999799660872668,0.8105689478106797,0.2675346937030554,0.0830078125,0.07436506531666964,0.47333751851692796,0.6395278377458453,0.47251864639110863,0.11007326007326008,8.7890625,38.28125,2.901259619742632,0.10344827586206896
15.72265625,49.609375,754.1558250956585,3,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,2.9053995218127966,2.7385483626276255,0.33862390951253474,0.0069955816252331715,0.23703689815010875,2.962305650115013,0.010000000000000007,0.0069955816252331715,0.4416119249071926,0.9999055061489344,0.818184926174581,0.2918236308032647,0.08203125,0.07911913486896083,0.48894896707497537,0.6439491058699787,0.4880968776997179,0.1644910644910645,13.8671875,49.21875,2.829446543008089,0.1724137931034483
19.7265625,57.32421875,594.107527885482,4,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,2.7011988377198577,2.535337910056114,0.33237348729744554,0.006114054333011154,0.23419225926045328,2.9554109908640385,0.010000000000000007,0.006114054333011154,0.43370341369882226,0.999859340954572,0.8149158470332623,0.3017850611358881,0.0849609375,0.07527346519054845,0.5121853263117373,0.6516515873372555,0.5112826882395893,0.13988095238095238,13.0859375,51.3671875,2.7369783353060484,0.14224137931034483
21.97265625,63.0859375,579.4619753109547,5,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,2.5919216088950634,2.426667367108166,0.33695364580489695,0.005596092734776903,0.23085221904329956,2.9508805610239506,0.010000000000000007,0.005596092734776903,0.4407101981341839,0.9999283305369318,0.8111905260011554,0.29201567347627133,0.0888671875,0.08101665636058897,0.5141457342542708,0.6465389989316463,0.5132383771706372,0.15868437118437118,15.234375,51.3671875,2.779265956953168,0.16379310344827586
23.14453125,62.109375,487.79969800509434,6,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,2.5643123742192984,2.39909331407398,0.3264914471656084,0.0049709266822901554,0.235010672127828,2.9543626755476,0.010000000000000007,0.0049709266822901554,0.42587002320215106,0.9998775264248252,0.8105007191188633,0.3058798759011552,0.0859375,0.08193351543741301,0.5280245081521571,0.653658143710345,0.5270880707539618,0.1876873126873127,13.4765625,58.3984375,2.528468757867813,0.1853448275862069
24.4140625,66.69921875,484.7808486011143,7,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,2.502530040219426,2.3377211056649685,0.33011396741494536,0.004627481388524757,0.23466235876549035,2.949219010770321,0.009929687500000006,0.004627481388524757,0.4287943870294839,0.9998140037059784,0.8097583600319922,0.2994357175193727,0.0927734375,0.08181643852731213,0.5149016983341426,0.65169573482126,0.5139934662729502,0.2650555000555001,24.8046875,61.71875,2.564424255862832,0.28879310344827586
34.27734375,75.78125,484.6071435225491,8,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,2.1418239288032055,1.9784253174439073,0.32401851122267544,0.004845215367822675,0.22365224570967257,2.9310643672943115,0.0010000000000000007,0.004845215367822675,0.4218520924914628,0.9995798207819462,0.8048233082517982,0.3096164984162897,0.11328125,0.08377147821011022,0.5772635065950453,0.6693711746484041,0.5762217999435961,0.37199134199134193,29.4921875,67.3828125,2.246362280100584,0.375
39.6484375,78.22265625,483.38113299020284,9,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,2.0130871515721083,1.8497194508090615,0.32153984950855374,0.004777353839017451,0.22315720503684133,2.9321152046322823,0.0009929687500000006,0.004777353839017451,0.4157742515671998,0.9995231884531677,0.8036948600783944,0.3137161567574367,0.11328125,0.08380128809949383,0.5935813756659627,0.6752451383508742,0.5925054154358804,0.3654170829170829,31.0546875,65.4296875,2.28268832154572,0.3793103448275862
40.91796875,79.00390625,483.36960025093475,10,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,1.966363212093711,1.8031138111837208,0.3347530325409025,0.004733644074804033,0.2205333870369941,2.930167831480503,9.999999999999983e-05,0.004733644074804033,0.43457849556580186,0.9995065410621464,0.8042717054486275,0.2969741537235677,0.1083984375,0.08324291737517342,0.5939372968859971,0.6597578641958535,0.5928605431690812,0.40293928293928294,32.03125,67.7734375,2.260509144514799,0.41810344827586204
40.72265625,80.2734375,486.448275025585,11,0.010000000000000007,0.5,0.049999999999999885,0.049999999999999885,1.9352452484890819,1.772155581973493,0.32738066208548844,0.004703998523837072,0.22058862703852355,2.928688582032919,9.999999999999983e-05,0.004703998523837072,0.42381648486480117,0.999527916777879,0.8051139679737389,0.30657296371646225,0.1162109375,0.08279241569107398,0.6064982749521732,0.6692752349190414,0.6053951731882989,0.3951362526362526,31.4453125,66.015625,2.25843848567456,0.40948275862068967
